               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055958,            0.028824,            0.025432,             0.18703,             0.29706,             0.12885,            0.044476,            0.034117,            0.012402,            0.020591,           0.0033305,           0.0033305,            0.070025
                   1,            0.035824,            0.026818,            0.022319,             0.27487,             0.35131,             0.21508,            0.096327,             0.02788,            0.010423,            0.018698,           0.0064989,           0.0064989,             0.03986
                   2,            0.033583,            0.025689,            0.021396,             0.35388,             0.47398,             0.32441,             0.14761,            0.025975,           0.0094595,            0.017667,           0.0095023,           0.0095023,           0.0095306
                   3,            0.029297,            0.024089,            0.020284,              0.4389,             0.63194,             0.48325,             0.27408,            0.022976,           0.0087075,            0.016551,           0.0092575,           0.0092575,           0.0092575
                   4,             0.02623,            0.023905,            0.019335,             0.39209,             0.59173,             0.44437,              0.2571,            0.020941,           0.0088586,            0.016397,           0.0092575,           0.0092575,           0.0092575
                   5,            0.024018,            0.022913,            0.018286,             0.35575,               0.589,             0.37945,             0.17459,            0.022029,            0.009555,            0.017233,             0.00901,             0.00901,             0.00901
                   6,            0.023191,            0.023057,             0.01806,             0.48593,             0.59632,             0.51615,             0.30521,            0.019933,           0.0087032,            0.016978,           0.0087625,           0.0087625,           0.0087625
                   7,            0.021886,            0.023089,            0.017242,             0.41028,             0.54297,             0.39233,             0.19744,            0.022089,           0.0092744,            0.022326,            0.008515,            0.008515,            0.008515
                   8,            0.021616,            0.022352,            0.016499,             0.38024,             0.63083,             0.43691,             0.21417,            0.019526,           0.0097672,            0.013823,           0.0082675,           0.0082675,           0.0082675
                   9,            0.020052,            0.022136,            0.016336,             0.43984,             0.51101,             0.46771,              0.2343,            0.019496,            0.008253,            0.018375,             0.00802,             0.00802,             0.00802
                  10,            0.020306,            0.022231,            0.015522,             0.45441,             0.52092,              0.4164,             0.19762,             0.02046,           0.0090262,            0.021782,           0.0077725,           0.0077725,           0.0077725
                  11,            0.020288,            0.021787,             0.01519,             0.46088,             0.45311,             0.43958,             0.20238,            0.020237,           0.0093902,            0.016083,            0.007525,            0.007525,            0.007525
                  12,             0.01888,            0.020938,            0.014419,             0.42472,             0.56773,              0.4581,             0.24876,            0.018076,           0.0094106,            0.014736,           0.0072775,           0.0072775,           0.0072775
                  13,            0.018805,            0.020758,            0.014416,             0.37739,             0.61129,             0.47037,             0.22742,            0.020688,             0.00871,            0.017251,             0.00703,             0.00703,             0.00703
                  14,            0.019131,            0.021073,             0.01328,             0.59344,             0.50328,             0.51323,             0.26896,            0.019558,           0.0086219,            0.016386,           0.0067825,           0.0067825,           0.0067825
                  15,            0.018294,            0.020399,            0.012936,              0.4221,             0.47044,             0.42504,             0.21728,            0.019178,           0.0091237,            0.018237,            0.006535,            0.006535,            0.006535
                  16,            0.017889,            0.020502,            0.012672,             0.41597,             0.62567,             0.47206,             0.23372,            0.019445,           0.0092633,            0.014274,           0.0062875,           0.0062875,           0.0062875
                  17,            0.018004,            0.020562,            0.012304,              0.4833,             0.48388,             0.45599,             0.22015,            0.018818,           0.0090923,            0.018086,             0.00604,             0.00604,             0.00604
                  18,            0.018084,            0.020514,            0.012675,             0.46548,             0.50945,             0.49902,             0.26572,            0.017592,           0.0083971,            0.018295,           0.0057925,           0.0057925,           0.0057925
                  19,            0.017633,            0.020185,             0.01226,              0.5201,             0.65509,             0.56534,             0.29343,            0.018499,           0.0092902,            0.014501,            0.005545,            0.005545,            0.005545
                  20,             0.01727,            0.019783,             0.01121,             0.57003,             0.65868,             0.61793,             0.32601,            0.019382,           0.0086281,            0.013473,           0.0052975,           0.0052975,           0.0052975
                  21,            0.016989,            0.019616,            0.011151,             0.55676,             0.69056,             0.58438,              0.3239,            0.017907,           0.0091489,            0.014399,             0.00505,             0.00505,             0.00505
                  22,            0.016771,             0.01908,            0.011338,             0.61631,             0.67481,             0.64929,             0.35293,             0.01802,            0.008622,            0.012294,           0.0048025,           0.0048025,           0.0048025
                  23,             0.01697,            0.019705,            0.011014,             0.67533,               0.665,             0.66619,             0.37729,            0.018122,           0.0084785,            0.012423,            0.004555,            0.004555,            0.004555
                  24,             0.01653,            0.019118,             0.01027,             0.63133,             0.64157,             0.61097,             0.33952,            0.018089,           0.0087841,            0.014578,           0.0043075,           0.0043075,           0.0043075
                  25,            0.016395,            0.019473,            0.010482,             0.66058,             0.63613,             0.63051,             0.34403,            0.017838,           0.0084912,            0.015762,             0.00406,             0.00406,             0.00406
                  26,            0.016439,            0.019275,           0.0096953,             0.66814,             0.73839,             0.73508,             0.42143,             0.01769,           0.0085989,            0.010412,           0.0038125,           0.0038125,           0.0038125
                  27,            0.016254,             0.01931,           0.0093301,             0.66655,             0.63861,             0.63948,             0.34666,            0.018839,           0.0089524,            0.010847,            0.003565,            0.003565,            0.003565
                  28,            0.015632,            0.018973,           0.0094014,             0.60202,             0.79708,             0.72689,             0.40071,             0.01809,           0.0087549,            0.011142,           0.0033175,           0.0033175,           0.0033175
                  29,            0.015755,            0.018856,           0.0092952,             0.73077,             0.69155,             0.76769,             0.42982,            0.017955,           0.0084561,            0.010263,             0.00307,             0.00307,             0.00307
                  30,            0.015665,            0.018422,           0.0085554,             0.70022,             0.75101,             0.74047,             0.41715,            0.016602,           0.0086866,            0.012093,           0.0028225,           0.0028225,           0.0028225
                  31,            0.015278,            0.018251,           0.0083355,             0.66572,             0.73155,             0.71632,             0.40969,            0.017167,           0.0086565,            0.010053,            0.002575,            0.002575,            0.002575
                  32,            0.015025,            0.017866,           0.0079059,             0.71359,             0.68213,              0.6993,             0.40117,            0.017085,            0.008969,            0.010722,           0.0023275,           0.0023275,           0.0023275
                  33,            0.015003,            0.018407,           0.0077809,              0.7402,             0.67915,             0.69069,             0.39083,            0.017552,           0.0091652,            0.010467,             0.00208,             0.00208,             0.00208
                  34,            0.014538,            0.017514,           0.0080989,             0.72514,             0.67464,             0.71161,             0.41344,            0.017634,           0.0092279,           0.0083377,           0.0018325,           0.0018325,           0.0018325
                  35,            0.014609,            0.017888,           0.0081507,             0.72469,               0.723,             0.74475,             0.43691,              0.0165,           0.0090198,           0.0069041,            0.001585,            0.001585,            0.001585
                  36,            0.014415,            0.017309,           0.0069873,              0.6951,             0.67561,             0.67463,             0.37355,            0.017618,            0.009891,            0.010951,           0.0013375,           0.0013375,           0.0013375
                  37,            0.014593,            0.018327,           0.0069202,             0.68792,             0.69076,             0.68119,             0.40598,            0.016661,           0.0098113,            0.010304,             0.00109,             0.00109,             0.00109
                  38,            0.013972,            0.017165,           0.0072843,             0.70137,             0.71374,             0.72044,             0.42316,            0.016539,           0.0090346,            0.011308,           0.0008425,           0.0008425,           0.0008425
                  39,            0.014236,            0.017545,           0.0075366,             0.63913,             0.74494,             0.70524,              0.4078,            0.016887,           0.0093891,            0.010805,            0.000595,            0.000595,            0.000595
